date,message
2025-02-13 11:46:43+00:00,"💥....... KITCHENWARE SET.......💥

     🎄 መልካም የገና በአል 🎄

👉 ከፍተኛ ሙቀት ከሚቋቋም ሲልከን የተሰሩ 
👉  ኪችንዎን ሙሉ የሚያደርጉ
👉 የማይጫጫሩ የማይመነችኩ
👉 11 ማማሰያና ጭልፋዎች
👉 4 በሴራሚክ የተለበጡ ቢላዎች
👉 አንድ የዳቦ መቁረጫ መጋዝ ቢላ
👉 አንድ መቀስ
👉 አንድ የማይጫጫር ጠንካራ መክተፊያ
👉 ከማስቀመጫቸው ጋር


♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

   💦 ዋጋ፦ ✅   3,200 ብር



  

🔔ውስን ፍሬ ነው ያለው 🔥🔥🔥



1️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04 

2️⃣.📌መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316 

3️⃣.📌ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፕር ማርኬት ያለበት 2ኛ ፎቅ ቢር ቁ11 

4️⃣.📌 ጀሞ መስታወት ፍብሪካ ፊት ለፊት ከፍደም ሞል ግራውድ ላይ የሱቅ ቁጥር 39


5️⃣.📌ፒያሳ ኤኔሪኮ ኬክ ቤት አጠገብ የሚገኛው ዋስትና ሕንፃ 2ኛ ፎቆ ቢሮ ቁጥር 04




ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590


🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
2025-02-11 05:09:26+00:00,"💥6 layer Stainless Steel Shoes Rack 

🔰ከብረት የተሰራ
🔰ጫማ እና የተለያዩ ዕቃወች ማስቀመጫ 
🔰ለመገጣጠም ቀላል 
👟👠📙📃🗄️
💯 High Quality

ባለ ስድስት መደርደሪያ ያለው
☑️ Size :- 55*26*149

 💦 ዋጋ፦2,400 ✅ብር


  1️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04 

2️⃣.📌መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316 

3️⃣.📌ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፕር ማርኬት ያለበት 2ኛ ፎቅ ቢር ቁ11 

4️⃣.📌 ጀሞ መስታወት ፍብሪካ ፊት ለፊት ከፍደም ሞል ግራውድ ላይ የሱቅ ቁጥር 39




ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590


🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
2025-02-10 05:18:42+00:00,"💥...የእናቶች ምርጥ ቦርሳ.....💥

👉 የልጆቾን መገልገያ እቃዎች በደንብ የሚይዝ
👉 የልብስ,የዳይፐር,የጡጦ መያዢያ
👉 በተጨማሪ የዳይፐር መቀየሪያ ያለው
👉 5በ1 የሆነ ውበት ያለው ቦርሳ


  💦 ዋጋ፦2,200 ✅ብር

      

  1️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04 

2️⃣.📌መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316 

3️⃣.📌ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፕር ማርኬት ያለበት 2ኛ ፎቅ ቢር ቁ11 

4️⃣.📌 ጀሞ መስታወት ፍብሪካ ፊት ለፊት ከፍደም ሞል ግራውድ ላይ የሱቅ ቁጥር 39




ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590


🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
2025-02-08 05:17:30+00:00,"💥 Foldable Height Adjustable Metal Frame Laptop Stand
🔰Help your sitting posture"
2025-02-08 05:17:30+00:00,"💥 Foldable Height Adjustable Metal Frame Laptop Stand
🔰Help your sitting posture
💯 High  Quality ( የብረቱ )


ላፕቶፕ ጭን ላይ አስቀምጠው መጠቀም ለከፋ ጉዳት እንደሚያጋልጥ የጤና ባለሙያዎች ይናገራሉ ፤ እንዲሁም ቴብል ላይ አድርገዉ ሲጠቀሙ ፋኑ ስለሚደፈን  ከፍተኛ ሙቀት በመፍጠር ድምፅ ያሰማል። 

ለዚህ ሁሉ መፍትሄ ተጣጣፊ የላፕቶፕ ፣ ታብሌት Holder በተመጣጣኝ ዋጋ ገዝተዉ የእርስዎንና የላፕቶፕዎን ጤንነት ይጠብቁ።

💦 ዋጋ፦ ✅ 1,000 ብር


    1️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04 

2️⃣.📌መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316 

3️⃣.📌ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፕር ማርኬት ያለበት 2ኛ ፎቅ ቢር ቁ11 

4️⃣.📌 ጀሞ ከፍደም ሞል ግራውድ ላይ የሱቅ ቁጥር 39




ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590


🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
2025-02-07 15:51:30+00:00,"💥Mi 360° rotation security camera 2K

👉ስራ ቦታ ሆነው የልጅዎትን ውሎ መከታተል የሚችሉበት 360 degree security camera 
👉እንቅሰቃሴ በሚኖርበት ጊዜ ካሜራው እንቅስቃሴ ወደ አየበት አቅጣጫ ተከታትሎ እራሱ የሚዟዟር
👉ቤት፣ቢሮ፣ሱቅ፣ድርጅት መቆጣጠር የፈለጉትን እንቅስቃሴ በዘምናዊ መለኩ ፈታ ዘና ብለዉ ሚቆጣጠሩበት
💯ሚሞሪ ካርድ የሚቀበል 
💯የካሜራውን lens በ ስልክዎ ወደ ፈለጉት አቅጣጫ 360 degree እያዟዟሩ ማየት ይችላሉ 
👉በማታ ይቀርፃል በምሽት አጠረቶ እንዲያሳየ አርጎ የተሰራ(night smart vision camera)
👉የትም ሆነው  የደምፅ መልዕክት ማስተላለፍ የሚችል 
👉ድምፅ ይቀዳል (it also records voice)
👉እንቅስቃሴ ባለበት ሰዓት ወደ ስልኮ text ይልካል እንዲሁም ያየውን ነገር በvideo ወደ ስልኮ ይልካል(during activities it send notifications)



 💦 ዋጋ፦ ✅ 6,500 ብር

♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

     🏢 አድራሻ👉
1️⃣.📌.መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316

2️⃣.📌-ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፐርማርኬት ያለበት ህንፃ 2ኛ ፎቅ ቢሮ ቁ11


3️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04

ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590

🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS "
2025-02-07 09:10:48+00:00,"📣 Multifunctional Shoe and Hat Rack

✔️ ባለ ዘርፈ ብዙ ጥቅም 
✔️ ለጫማ፣ ለባርኔጣ፡ኮፍያ መሰል ዕቃዎች ማስቀመጫ
✔️ የሚገጣጠም ከማይዝግ ብረት ቱቦ የተሰራ የተሰራ ባለ 4 ደረጃ
✔️ ደረጃው ውሃ ከማያስገባ ሸራ የተሰራ
✔️ መገጣጠሚያው ካርቦኔትድ ፕላስቲክ የተሰራ
✔️1.72ሜትር ቁመት × 29.5cm ጥልቀትና ×  60cm ስፋት የሆነ
✔️ አነስተኛ ቦታ የሚይዝ


    💦 ዋጋ፦ ✅  2,800 ብር


1️⃣.📍ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04 

2️⃣.📍መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316 

3️⃣.📍ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ ሱፕር ማርኬት ያለበት 2ኛ ፎቅ ቢር ቁ11 



ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590


🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
2025-02-07 05:18:01+00:00,"✔️ ዉድ ደንበኞቻችን ከታች ያስቀመጥነውን ሊንክ ተጫነው የልጆች ዕቃ የሚያገኙበትን ቻናል ሲቀላቀሉ እና ከዛላይ ዕቃ ሲያዙ ይሄንን ጠቃሚ ዕቃ ለልጆ በነፃ ያገኛሉ ሊንኩን በመጫን አሁኑኑ ቤተሰብ ይሁኑ የልጆኑም 🎁ስጦታ ይውሰዱ

የልጆች ዕቃ ቤተሰብ ይሁኑ🔽
https://t.me/welajoche
   
🇪🇹 4FREE KIDES 🇪🇹"
2025-02-07 05:15:01+00:00,👆**ለልጆችዎ ልዩ እና ከተለመደው ውጪ ምቾት ያለው ምንጣፍ**
2025-02-07 05:15:01+00:00,"💥 **ለልጆችዎ ልዩ እና ከተለመደው ውጪ ምቾት ያለው ምንጣፍ

**🌷ህፃናት በምቾት የሚወዱት እና የሚፈነጥዙበት
🌷አዋቂዎች ለመስክ እና ለተለያዩ ነገሮች የሚመርጡት
🌷ፈሳሽ ነገር ቢፈስበት የማያሰርግ 
🌷 ለአያያዝ ምቹ 
🌷  መጠን  2 ሜ በ 170 ሴሜ  

💦 ዋጋ፦ ✅  2,800 ብር


     
ትንሹ    💦 ዋጋ፦ ✅ 2,7000 ብር
   ትልቁ    💦 ዋጋ፦ ✅ 3,400 ብር

    ? አድራሻ👉
4️⃣.📌 ጀሞ ከፍደም ሞል ግራውድ ላይ የሱቅ ቁጥር 39

3️⃣.📌ሳር ቤት ካናዳ ኤምባሲ ፊትለፊት ሸዋ

2️⃣.📌መገናኛ መተባበር ሕንፃ 3ኛ ፎቅ ቢሮ ቁ316

1️⃣.📌ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ ቢሮ ቁ04

ለማዘዝ  እነዚን ቁጥሮች ይጠቀሙ🔽

                          📱0970259898
                          📱0912111590

🔖
💬በቀጥታ ለማዘዝ➡️ @Order_now8

Telegram https://t.me/Ecommerceaddis

▓▒░E - COMMERCE ADDIS"
